,Unnamed: 0,Unnamed: 0.1,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,0,0,PCdoB,1911,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,7,4
1,1,1,PDT,1911,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,9,4
2,2,2,PFL,1911,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,33,36
3,3,3,PL,1911,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,37,0
4,4,4,PMDB,1911,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,45,19
5,5,5,PMN,1911,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,0,0
6,6,6,PP,1911,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,31,13
7,7,7,PPS,1911,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,17,0
8,8,8,PRONA,1911,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,0,6
9,9,9,PSB,1911,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,24,5
10,10,10,PSC,1911,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,1,0
11,11,11,PSDB,1911,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,29,28
12,12,12,PSL,1911,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,1,0
13,13,13,PT,1911,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,80,12
14,14,14,PTB,1911,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,39,8
15,15,15,PV,1911,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,4,1
16,16,16,S.Part.,1911,113716,2003-08-05 20:34:33.0,2003-08-06 01:15:12.0,1,0
