,siglaPartido,voteId,idProposicao,dataHoraInicio,dataHoraFim,com_governo,contra_governo
0,DEM,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,2,35
1,PCdoB,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,10,1
2,PDT,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,9,10
3,PHS,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,1,0
4,PMDB,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,62,9
5,PMN,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,0,0
6,PP,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,17,5
7,PPS,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,0,7
8,PR,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,23,6
9,PRB,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,2,0
10,PSB,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,21,1
11,PSC,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,4,4
12,PSDB,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,0,39
13,PSOL,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,0,3
14,PT,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,55,1
15,PTB,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,11,1
16,PTC,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,1,0
17,PTdoB,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,1,0
18,PV,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,2,2
19,S.Part.,3629,422684,2009-04-22 14:00:31.0,2009-04-22 20:00:23.0,1,0
