dataHoraFim,siglaPartido,voteId,idProposicao,dataHoraInicio,com_governo,contra_governo
2007-10-24 19:00:02,AVANTE,3072,4297,2007-10-24 14:01:09,1.0,0.0
2007-10-31 20:05:08,AVANTE,3076,4315,2007-10-31 14:00:12,1.0,0.0
2007-10-31 20:05:08,AVANTE,3077,4307,2007-10-31 14:00:12,1.0,0.0
2007-10-31 20:05:08,AVANTE,3080,4316,2007-10-31 14:00:12,1.0,0.0
2007-10-31 22:44:59,AVANTE,3081,4317,2007-10-31 20:06:00,1.0,0.0
2007-10-31 22:44:59,AVANTE,3083,4313,2007-10-31 20:06:00,1.0,0.0
2009-02-18 13:19:59,AVANTE,3563,5648,2009-02-18 10:00:16,0.0,0.0
2009-05-19 21:19:57,AVANTE,3676,5935,2009-05-19 17:39:56,1.0,0.0
2009-05-19 21:19:57,AVANTE,3679,6006,2009-05-19 17:39:56,0.0,0.0
2012-03-27 19:12:11,AVANTE,4922,10306,2012-03-27 17:33:00,3.0,0.0
2017-08-16 22:02:56,AVANTE,7713,20600,2017-08-16 18:02:02,1.0,1.0
2017-09-13 22:06:20,AVANTE,7808,20773,2017-09-13 17:03:06,4.0,1.0
2018-03-13 22:10:08,AVANTE,8236,22026,2018-03-13 19:01:18,3.0,1.0
2007-03-13 19:00:27,AVANTE,2702,3674,2007-03-13 14:00:44,1.0,0.0
2007-03-14 20:38:07,AVANTE,2704,3675,2007-03-14 14:00:13,1.0,0.0
2007-03-14 20:38:07,AVANTE,2706,3678,2007-03-14 14:00:13,0.0,0.0
2007-03-15 19:34:35,AVANTE,2711,3684,2007-03-15 09:02:03,1.0,0.0
2008-05-27 22:51:27,AVANTE,3305,4753,2008-05-27 20:01:46,1.0,0.0
2011-10-05 23:04:50,AVANTE,4772,9838,2011-10-05 19:49:02,1.0,1.0
2012-04-18 19:49:48,AVANTE,4953,10411,2012-04-18 18:04:04,1.0,1.0
2015-04-08 21:24:42,AVANTE,6204,14955,2015-04-08 20:01:20,0.0,2.0
2017-11-07 17:18:52,AVANTE,7967,21238,2017-11-07 09:58:34,1.0,1.0
2017-11-07 22:24:38,AVANTE,7969,21234,2017-11-07 17:19:04,2.0,1.0
2009-06-02 22:28:38,AVANTE,3710,6050,2009-06-02 20:03:06,1.0,0.0
