dataHoraFim,siglaPartido,voteId,idProposicao,dataHoraInicio,com_governo,contra_governo
2015-04-08 21:24:42,DC,6204,14955,2015-04-08 20:01:20,0.0,2.0
2014-05-06 23:58:32,DC,5890,13561,2014-05-06 20:09:00,1.0,0.0
2015-03-05 19:05:54,DC,6117,14569,2015-03-05 14:00:11,0.0,2.0
2015-03-10 21:42:20,DC,6126,14581,2015-03-10 20:00:32,1.0,0.0
2015-03-24 22:04:16,DC,6169,14781,2015-03-24 20:01:36,2.0,0.0
2015-03-25 22:32:05,DC,6178,14853,2015-03-25 19:56:41,2.0,0.0
2015-08-26 20:13:09,DC,6531,16273,2015-08-26 14:00:06,1.0,1.0
2015-03-25 19:56:26,DC,6171,14804,2015-03-25 14:00:12,2.0,0.0
2015-03-26 14:00:11,DC,6183,14878,2015-03-26 09:07:32,2.0,0.0
2015-04-28 22:12:18,DC,6259,15165,2015-04-28 20:04:02,2.0,0.0
2015-08-04 22:16:29,DC,6485,16074,2015-08-04 19:05:01,0.0,2.0
2015-08-06 01:18:28,DC,6487,16120,2015-08-05 20:01:14,2.0,0.0
2015-08-06 01:18:28,DC,6488,16119,2015-08-05 20:01:14,2.0,0.0
2015-08-06 01:52:16,DC,6489,16095,2015-08-06 01:19:09,1.0,1.0
2015-08-11 21:14:48,DC,6497,16089,2015-08-11 18:50:01,1.0,1.0
2014-04-23 20:21:36,DC,5873,13247,2014-04-23 19:25:59,1.0,0.0
2014-06-04 20:15:45,DC,5948,13709,2014-06-04 14:00:08,0.0,0.0
2014-04-29 21:45:10,DC,5880,13506,2014-04-29 18:11:09,1.0,0.0
2015-03-10 20:00:19,DC,6120,14515,2015-03-10 14:00:05,1.0,1.0
2015-03-31 19:01:19,DC,6190,14772,2015-03-31 14:01:10,0.0,2.0
2015-03-31 19:01:19,DC,6192,14913,2015-03-31 14:01:10,2.0,0.0
2015-09-02 22:59:44,DC,6550,16372,2015-09-02 20:02:36,1.0,0.0
2015-09-02 22:59:44,DC,6551,16368,2015-09-02 20:02:36,1.0,0.0
2015-09-22 20:16:30,DC,6598,16524,2015-09-22 14:00:02,2.0,0.0
2015-09-23 19:44:52,DC,6604,16513,2015-09-23 16:58:47,2.0,0.0
2014-04-22 20:03:24,DC,5859,13354,2014-04-22 14:00:12,1.0,0.0
2014-04-22 20:03:24,DC,5861,13395,2014-04-22 14:00:12,1.0,0.0
2014-05-06 23:58:32,DC,5891,13529,2014-05-06 20:09:00,1.0,0.0
2014-05-20 19:32:06,DC,5899,13643,2014-05-20 14:00:22,0.0,0.0
2014-05-20 20:40:39,DC,5905,13646,2014-05-20 19:32:15,0.0,1.0
2014-05-21 23:57:16,DC,5915,13687,2014-05-21 19:25:40,0.0,1.0
2014-05-21 23:57:16,DC,5916,13670,2014-05-21 19:25:40,1.0,0.0
2015-02-10 21:41:41,DC,6088,14147,2015-02-10 20:04:43,2.0,0.0
2015-02-10 21:41:41,DC,6089,14403,2015-02-10 20:04:43,2.0,0.0
2015-03-03 19:00:37,DC,6106,14513,2015-03-03 14:00:08,2.0,0.0
2015-03-12 19:59:23,DC,6137,14648,2015-03-12 14:11:34,2.0,0.0
2015-03-12 19:59:23,DC,6138,14544,2015-03-12 14:11:34,1.0,0.0
2015-03-17 20:08:29,DC,6143,14626,2015-03-17 14:00:24,0.0,1.0
2015-03-17 20:08:29,DC,6144,14627,2015-03-17 14:00:24,1.0,0.0
2015-03-19 19:07:58,DC,6158,14707,2015-03-19 14:00:28,1.0,1.0
2015-04-07 22:21:19,DC,6200,14923,2015-04-07 20:00:33,1.0,1.0
2015-09-10 15:17:51,DC,6575,16453,2015-09-10 09:06:48,2.0,0.0
