dataHoraFim,siglaPartido,voteId,idProposicao,dataHoraInicio,com_governo,contra_governo
2003-04-08 20:00:37,DEM,1855,2426,2003-04-08 14:00:52,6.0,54.0
2003-04-15 20:01:34,DEM,1856,2430,2003-04-15 14:01:05,3.0,54.0
2003-04-23 22:27:49,DEM,1859,2437,2003-04-23 20:16:23,30.0,20.0
2003-04-29 22:35:21,DEM,1861,2439,2003-04-29 20:11:14,21.0,44.0
2003-04-30 18:23:11,DEM,1862,2442,2003-04-30 09:00:00,3.0,37.0
2003-05-06 20:20:09,DEM,1863,2443,2003-05-06 14:00:22,1.0,49.0
2003-05-06 20:20:09,DEM,1864,2452,2003-05-06 14:00:22,4.0,64.0
2003-05-06 22:14:19,DEM,1865,2456,2003-05-06 20:30:54,6.0,25.0
2003-05-20 19:42:27,DEM,1867,2462,2003-05-20 14:00:18,58.0,0.0
2003-05-22 14:01:20,DEM,1869,2464,2003-05-22 09:32:33,1.0,15.0
2003-05-27 20:23:23,DEM,1870,2465,2003-05-27 14:04:48,52.0,0.0
2003-05-28 20:02:34,DEM,1871,2466,2003-05-28 13:57:28,6.0,57.0
2003-06-04 20:20:48,DEM,1876,2477,2003-06-04 14:00:18,7.0,46.0
2003-06-04 20:20:48,DEM,1877,2478,2003-06-04 14:00:18,49.0,0.0
2003-06-10 22:04:26,DEM,1880,2483,2003-06-10 20:06:07,4.0,52.0
2003-06-11 21:16:46,DEM,1883,2487,2003-06-11 14:00:20,7.0,48.0
2003-07-31 13:56:29,DEM,1905,2512,2003-07-31 08:59:54,49.0,0.0
2003-08-05 15:02:21,DEM,1908,2518,2003-08-05 10:46:25,6.0,39.0
2003-08-05 20:30:14,DEM,1909,2522,2003-08-05 15:16:34,9.0,53.0
2003-08-06 01:15:12,DEM,1910,2527,2003-08-05 20:34:33,19.0,23.0
2003-08-06 01:15:12,DEM,1911,2526,2003-08-05 20:34:33,33.0,36.0
2003-08-07 03:05:08,DEM,1915,2531,2003-08-06 20:41:55,5.0,14.0
2003-08-07 03:05:08,DEM,1916,2532,2003-08-06 20:41:55,15.0,48.0
2003-08-07 03:05:08,DEM,1917,2534,2003-08-06 20:41:55,23.0,32.0
2003-08-07 03:05:08,DEM,1920,2538,2003-08-06 20:41:55,31.0,35.0
2003-08-12 14:30:22,DEM,1923,2541,2003-08-12 09:25:14,5.0,30.0
2003-08-12 14:30:22,DEM,1924,2542,2003-08-12 09:25:14,10.0,16.0
2003-08-12 19:32:28,DEM,1925,2543,2003-08-12 14:30:31,11.0,17.0
2003-08-12 19:32:28,DEM,1926,2545,2003-08-12 14:30:31,10.0,26.0
2003-08-12 19:32:28,DEM,1927,2546,2003-08-12 14:30:31,17.0,28.0
2003-08-13 18:02:50,DEM,1928,2520,2003-08-13 13:00:22,10.0,43.0
2003-08-13 23:08:57,DEM,1929,2548,2003-08-13 18:33:09,60.0,2.0
2003-08-13 23:08:57,DEM,1930,2556,2003-08-13 18:33:09,60.0,4.0
2003-08-13 23:08:57,DEM,1931,2557,2003-08-13 18:33:09,32.0,34.0
2003-08-13 23:08:57,DEM,1932,2558,2003-08-13 18:33:09,64.0,1.0
2003-08-26 19:30:23,DEM,1936,2521,2003-08-26 14:00:29,13.0,37.0
2003-08-27 15:01:29,DEM,1937,2515,2003-08-27 09:31:09,8.0,29.0
2003-08-27 15:01:29,DEM,1938,2565,2003-08-27 09:31:09,11.0,26.0
2003-08-27 20:01:18,DEM,1939,2529,2003-08-27 15:02:57,15.0,29.0
2003-08-27 20:01:18,DEM,1940,2567,2003-08-27 15:02:57,32.0,34.0
2003-08-28 18:08:04,DEM,1941,2569,2003-08-28 13:59:59,0.0,8.0
