dataHoraFim,com_governo,contra_governo
2003-01-01,12.6,41.8
2003-10-31,15.17,28.34
2004-04-30,7.86,25.37
2004-10-31,4.58,29.19
2005-04-30,12.0,24.84
2005-10-31,6.58,21.94
2006-04-30,10.58,29.26
2006-10-31,2.17,43.17
2007-04-30,10.27,27.57
2007-10-31,6.05,25.09
2008-04-30,6.74,26.57
2008-10-31,6.54,19.84
2009-04-30,7.51,22.74
2009-10-31,14.58,20.81
2010-04-30,8.93,19.65
2010-10-31,3.83,27.67
2011-04-30,10.71,19.0
2011-10-31,6.41,19.62
2012-04-30,3.91,12.15
2012-10-31,8.85,7.54
2013-04-30,6.04,12.04
2013-10-31,6.36,9.09
2014-04-30,10.53,8.68
2014-10-31,7.53,12.27
2015-04-30,8.56,8.93
2015-10-31,4.47,11.65
2016-04-30,3.7,12.7
2016-10-31,17.0,1.07
2017-04-30,18.28,1.83
2017-10-31,16.98,1.68
2018-04-30,22.07,1.58
2018-10-31,25.07,2.05
2019-01-01,18.88,5.38
