dataHoraFim,com_governo,contra_governo
2003-01-01,38.8,12.0
2003-10-31,46.2,4.44
2004-04-30,46.18,3.86
2004-10-31,31.13,14.58
2005-04-30,34.91,11.88
2005-10-31,38.39,11.58
2006-04-30,41.03,12.06
2006-10-31,37.17,20.5
2007-04-30,59.55,2.25
2007-10-31,62.03,6.81
2008-04-30,59.86,5.02
2008-10-31,61.78,2.92
2009-04-30,56.66,6.97
2009-10-31,50.23,13.72
2010-04-30,54.22,5.28
2010-10-31,44.5,15.0
2011-04-30,52.29,4.33
2011-10-31,48.24,4.94
2012-04-30,56.65,3.44
2012-10-31,41.69,4.77
2013-04-30,44.48,7.48
2013-10-31,33.92,15.5
2014-04-30,34.58,14.63
2014-10-31,24.6,23.13
2015-04-30,30.54,21.05
2015-10-31,41.78,10.99
2016-04-30,37.74,11.2
2016-10-31,47.41,1.49
2017-04-30,43.32,3.25
2017-10-31,40.32,2.12
2018-04-30,36.3,1.77
2018-10-31,33.15,2.0
2019-01-01,26.75,4.88
