dataHoraFim,com_governo,contra_governo
2003-01-01,4.0,0.0
2007-02-07,,
2007-02-08,,
2007-02-09,,
2007-02-10,,
2007-02-11,,
2007-02-12,4.0,0.0
2007-02-13,,
2007-02-14,5.0,0.0
2007-02-15,,
2007-02-16,,
2007-02-17,,
2007-02-18,,
2007-02-19,,
2007-02-20,,
2007-02-21,,
2007-02-22,,
2007-02-23,,
2007-02-24,,
2007-02-25,,
2007-02-26,2.0,0.0
2007-02-27,5.0,0.0
2007-02-28,4.0,0.0
2007-03-01,,
2007-03-02,,
2007-03-03,,
2007-03-04,,
2007-03-05,2.0,0.0
2007-03-06,3.0,1.0
2007-03-07,,
2007-03-08,,
2007-03-09,,
2007-03-10,,
2007-03-11,,
2007-03-12,,
2007-03-13,2.0,0.0
2007-03-14,3.0,0.0
2007-03-15,3.0,0.0
2007-03-16,,
2007-03-17,,
2007-03-18,,
2007-03-19,,
2007-03-20,,
2007-03-21,4.0,0.0
2007-03-22,,
2007-03-23,,
2007-03-24,,
2007-03-25,,
2007-03-26,2.0,0.0
2007-03-27,,
2007-03-28,,
2007-03-29,,
2007-03-30,,
2007-03-31,,
2007-04-01,,
2007-04-02,,
2007-04-03,,
2007-04-04,,
2007-04-05,,
2007-04-06,,
2007-04-07,,
2007-04-08,,
2007-04-09,,
2007-04-10,2.25,0.0
2007-04-11,3.0,0.0
2007-04-12,2.0,0.0
2007-04-13,,
2007-04-14,,
2007-04-15,,
2007-04-16,,
2007-04-17,2.75,0.0
2007-04-18,4.0,0.0
2007-04-19,,
2007-04-20,,
2007-04-21,,
2007-04-22,,
2007-04-23,,
2007-04-24,3.5,0.0
2007-04-25,,
2007-04-26,,
2007-04-27,,
2007-04-28,,
2007-04-29,,
2007-04-30,,
2007-05-01,,
2007-05-02,2.0,0.0
2007-05-03,,
2007-05-04,,
2007-05-05,,
2007-05-06,,
2007-05-07,,
2007-05-08,2.0,0.0
2007-05-09,3.0,1.0
2007-05-10,,
2007-05-11,,
2007-05-12,,
2007-05-13,,
2007-05-14,,
2007-05-15,4.0,0.0
2007-05-16,3.0,0.0
2007-05-17,,
2007-05-18,,
2007-05-19,,
2007-05-20,,
2007-05-21,,
2007-05-22,,
2007-05-23,5.0,0.0
2007-05-24,,
2007-05-25,,
2007-05-26,,
2007-05-27,,
2007-05-28,,
2007-05-29,2.0,2.0
2007-05-30,5.0,0.0
2007-05-31,,
2007-06-01,,
2007-06-02,,
2007-06-03,,
2007-06-04,3.0,0.0
2007-06-05,3.0,0.0
2007-06-06,,
2007-06-07,,
2007-06-08,,
2007-06-09,,
2007-06-10,,
2007-06-11,,
2019-01-01,2.0,1.0
