dataHoraFim,com_governo,contra_governo
2003-01-01,9.8,0.0
2003-10-31,8.24,0.33
2004-04-30,6.8,0.14
2004-10-31,6.48,0.13
2005-04-30,4.62,0.91
2005-10-31,7.22,0.72
2006-04-30,7.35,1.26
2006-10-31,8.0,2.33
2007-04-30,9.64,0.91
2007-10-31,10.59,0.49
2008-04-30,10.1,0.29
2008-10-31,10.11,0.03
2009-04-30,8.46,0.69
2009-10-31,7.88,1.07
2010-04-30,8.24,0.74
2010-10-31,7.67,1.5
2011-04-30,9.58,1.0
2011-10-31,10.18,0.24
2012-04-30,9.15,0.41
2012-10-31,7.54,0.54
2013-04-30,7.04,1.83
2013-10-31,9.08,0.62
2014-04-30,8.53,2.21
2014-10-31,9.13,1.47
2015-04-30,9.15,1.54
2015-10-31,8.99,2.24
2016-04-30,9.59,0.37
2016-10-31,1.4,6.58
2017-04-30,0.63,8.02
2017-10-31,2.29,5.94
2018-04-30,1.77,5.33
2018-10-31,0.8,5.8
2019-01-01,6.25,2.62
