dataHoraFim,com_governo,contra_governo
2003-01-01,12.4,0.4
2003-10-31,8.48,1.06
2004-04-30,7.59,0.47
2004-10-31,4.26,2.16
2005-04-30,6.62,0.97
2005-10-31,4.08,4.53
2006-04-30,8.23,5.71
2006-10-31,5.5,9.83
2007-04-30,16.75,1.18
2007-10-31,17.37,0.93
2008-04-30,17.12,1.29
2008-10-31,17.05,0.73
2009-04-30,15.6,1.51
2009-10-31,14.51,2.58
2010-04-30,13.85,2.13
2010-10-31,11.67,5.0
2011-04-30,16.21,3.08
2011-10-31,16.62,3.38
2012-04-30,17.18,3.18
2012-10-31,14.0,3.92
2013-04-30,13.13,5.13
2013-10-31,13.19,4.95
2014-04-30,8.79,4.89
2014-10-31,7.33,5.6
2015-04-30,9.93,5.12
2015-10-31,10.32,5.46
2016-04-30,11.54,2.07
2016-10-31,6.13,7.45
2017-04-30,3.3,10.05
2017-10-31,6.29,7.42
2018-04-30,8.27,5.5
2018-10-31,2.33,9.15
2019-01-01,11.12,3.25
