dataHoraFim,siglaPartido,voteId,idProposicao,dataHoraInicio,com_governo,contra_governo
2007-10-24 19:00:02,PHS,3072,4297,2007-10-24 14:01:09,1.0,0.0
2007-10-31 20:05:08,PHS,3076,4315,2007-10-31 14:00:12,1.0,1.0
2007-10-31 20:05:08,PHS,3077,4307,2007-10-31 14:00:12,2.0,0.0
2007-10-31 20:05:08,PHS,3080,4316,2007-10-31 14:00:12,1.0,1.0
2007-10-31 22:44:59,PHS,3081,4317,2007-10-31 20:06:00,2.0,0.0
2007-10-31 22:44:59,PHS,3083,4313,2007-10-31 20:06:00,2.0,0.0
2009-02-18 13:19:59,PHS,3563,5648,2009-02-18 10:00:16,1.0,0.0
2009-05-19 21:19:57,PHS,3676,5935,2009-05-19 17:39:56,1.0,0.0
2009-05-19 21:19:57,PHS,3679,6006,2009-05-19 17:39:56,0.0,0.0
2012-03-27 19:12:11,PHS,4922,10306,2012-03-27 17:33:00,1.0,0.0
2017-08-16 22:02:56,PHS,7713,20600,2017-08-16 18:02:02,0.0,5.0
2017-09-13 22:06:20,PHS,7808,20773,2017-09-13 17:03:06,6.0,0.0
2018-03-13 22:10:08,PHS,8236,22026,2018-03-13 19:01:18,1.0,2.0
2007-03-13 19:00:27,PHS,2702,3674,2007-03-13 14:00:44,1.0,1.0
2007-03-14 20:38:07,PHS,2704,3675,2007-03-14 14:00:13,2.0,0.0
2007-03-14 20:38:07,PHS,2706,3678,2007-03-14 14:00:13,1.0,1.0
2007-03-15 19:34:35,PHS,2711,3684,2007-03-15 09:02:03,1.0,1.0
2008-05-27 22:51:27,PHS,3305,4753,2008-05-27 20:01:46,2.0,0.0
2011-10-05 23:04:50,PHS,4772,9838,2011-10-05 19:49:02,1.0,1.0
2012-04-18 19:49:48,PHS,4953,10411,2012-04-18 18:04:04,1.0,0.0
2015-04-08 21:24:42,PHS,6204,14955,2015-04-08 20:01:20,1.0,4.0
2017-11-07 17:18:52,PHS,7967,21238,2017-11-07 09:58:34,4.0,0.0
