dataHoraFim,com_governo,contra_governo
2007-01-01,0.38,0.0
2007-08-31,1.29,0.13
2008-02-29,1.7,0.06
2008-08-31,1.64,0.07
2009-02-28,1.7,0.07
2009-08-31,0.74,0.07
2010-02-28,1.27,0.08
2010-08-31,1.94,0.53
2011-02-28,1.82,0.24
2011-08-31,1.37,0.26
2012-02-29,0.97,0.12
2012-08-31,0.56,0.19
2013-02-28,0.52,0.14
2013-08-31,0.46,0.17
2014-02-28,0.5,0.0
2014-08-31,,
2015-02-28,2.0,1.0
2015-08-31,2.81,1.17
2016-02-29,3.31,0.51
2016-08-31,4.69,0.44
2017-02-28,4.85,0.32
2017-08-31,3.46,1.42
2018-02-28,3.55,1.73
2018-08-31,1.77,1.08
2019-01-01,1.4,0.9
