dataHoraFim,siglaPartido,voteId,idProposicao,dataHoraInicio,com_governo,contra_governo
2003-04-08 20:00:37,PL,1855,2426,2003-04-08 14:00:52,24.0,0.0
2003-04-15 20:01:34,PL,1856,2430,2003-04-15 14:01:05,21.0,2.0
2003-04-23 22:27:49,PL,1859,2437,2003-04-23 20:16:23,25.0,1.0
2003-04-29 22:35:21,PL,1861,2439,2003-04-29 20:11:14,28.0,0.0
2003-04-30 18:23:11,PL,1862,2442,2003-04-30 09:00:00,5.0,15.0
2003-05-06 20:20:09,PL,1863,2443,2003-05-06 14:00:22,23.0,0.0
2003-05-06 20:20:09,PL,1864,2452,2003-05-06 14:00:22,27.0,1.0
2003-05-06 22:14:19,PL,1865,2456,2003-05-06 20:30:54,26.0,0.0
2003-05-20 19:42:27,PL,1867,2462,2003-05-20 14:00:18,27.0,0.0
2003-05-22 14:01:20,PL,1869,2464,2003-05-22 09:32:33,14.0,0.0
2003-05-27 20:23:23,PL,1870,2465,2003-05-27 14:04:48,28.0,0.0
2003-05-28 20:02:34,PL,1871,2466,2003-05-28 13:57:28,31.0,1.0
2003-06-04 20:20:48,PL,1876,2477,2003-06-04 14:00:18,30.0,0.0
2003-06-04 20:20:48,PL,1877,2478,2003-06-04 14:00:18,25.0,0.0
2003-06-10 22:04:26,PL,1880,2483,2003-06-10 20:06:07,13.0,1.0
2003-06-11 21:16:46,PL,1883,2487,2003-06-11 14:00:20,26.0,0.0
2003-07-31 13:56:29,PL,1905,2512,2003-07-31 08:59:54,23.0,0.0
2003-08-05 15:02:21,PL,1908,2518,2003-08-05 10:46:25,20.0,1.0
2003-08-05 20:30:14,PL,1909,2522,2003-08-05 15:16:34,29.0,4.0
2003-08-06 01:15:12,PL,1910,2527,2003-08-05 20:34:33,28.0,2.0
2003-08-06 01:15:12,PL,1911,2526,2003-08-05 20:34:33,37.0,0.0
2003-08-07 03:05:08,PL,1915,2531,2003-08-06 20:41:55,18.0,0.0
2003-08-07 03:05:08,PL,1916,2532,2003-08-06 20:41:55,30.0,0.0
2003-08-07 03:05:08,PL,1917,2534,2003-08-06 20:41:55,29.0,0.0
2003-08-07 03:05:08,PL,1920,2538,2003-08-06 20:41:55,33.0,4.0
2003-08-12 14:30:22,PL,1923,2541,2003-08-12 09:25:14,23.0,0.0
2003-08-12 14:30:22,PL,1924,2542,2003-08-12 09:25:14,25.0,0.0
2003-08-12 19:32:28,PL,1925,2543,2003-08-12 14:30:31,23.0,0.0
2003-08-12 19:32:28,PL,1926,2545,2003-08-12 14:30:31,25.0,0.0
2003-08-12 19:32:28,PL,1927,2546,2003-08-12 14:30:31,28.0,0.0
2003-08-13 18:02:50,PL,1928,2520,2003-08-13 13:00:22,29.0,1.0
2003-08-13 23:08:57,PL,1929,2548,2003-08-13 18:33:09,33.0,2.0
2003-08-13 23:08:57,PL,1930,2556,2003-08-13 18:33:09,26.0,7.0
2003-08-13 23:08:57,PL,1931,2557,2003-08-13 18:33:09,33.0,2.0
2003-08-13 23:08:57,PL,1932,2558,2003-08-13 18:33:09,35.0,0.0
2003-08-26 19:30:23,PL,1936,2521,2003-08-26 14:00:29,30.0,1.0
2003-08-27 15:01:29,PL,1937,2515,2003-08-27 09:31:09,29.0,0.0
2003-08-27 15:01:29,PL,1938,2565,2003-08-27 09:31:09,27.0,0.0
2003-08-27 20:01:18,PL,1939,2529,2003-08-27 15:02:57,25.0,3.0
