dataHoraFim,siglaPartido,voteId,idProposicao,dataHoraInicio,com_governo,contra_governo
2016-04-28 17:33:34,PMB,6935,17752,2016-04-28 08:00:04,1.0,0.0
2016-05-03 21:35:55,PMB,6942,17749,2016-05-03 19:39:09,1.0,0.0
2016-02-17 21:52:46,PMB,6819,17415,2016-02-17 20:00:11,19.0,0.0
2016-05-31 23:23:08,PMB,7004,18034,2016-05-31 20:15:12,1.0,0.0
2017-03-29 20:35:27,PMB,7448,17246,2017-03-29 15:35:08,0.0,1.0
2015-11-24 20:13:57,PMB,6739,17146,2015-11-24 14:00:10,6.0,1.0
2015-11-24 20:13:57,PMB,6740,17145,2015-11-24 14:00:10,4.0,0.0
2015-11-24 20:13:57,PMB,6744,17154,2015-11-24 14:00:10,9.0,0.0
2015-11-24 22:59:48,PMB,6745,17166,2015-11-24 20:14:18,11.0,0.0
2015-11-24 22:59:48,PMB,6752,17157,2015-11-24 20:14:18,12.0,0.0
2015-12-15 19:59:02,PMB,6782,17103,2015-12-15 18:44:25,15.0,1.0
2015-12-15 19:59:02,PMB,6783,17270,2015-12-15 18:44:25,15.0,0.0
2016-02-03 20:28:32,PMB,6792,17258,2016-02-03 16:37:18,7.0,6.0
2016-02-03 23:23:48,PMB,6793,17351,2016-02-03 20:29:25,5.0,9.0
2016-02-03 23:23:48,PMB,6796,17369,2016-02-03 20:29:25,11.0,2.0
2016-02-16 19:58:06,PMB,6797,17370,2016-02-16 14:00:05,10.0,1.0
2016-02-17 00:00:00,PMB,6800,17390,2016-02-16 19:59:28,14.0,1.0
2016-02-17 00:00:00,PMB,6806,17321,2016-02-16 19:59:28,13.0,4.0
2016-02-17 00:00:00,PMB,6807,17359,2016-02-16 19:59:28,14.0,4.0
2016-02-17 00:00:00,PMB,6808,17361,2016-02-16 19:59:28,12.0,5.0
2016-02-17 19:58:58,PMB,6811,17401,2016-02-17 14:00:13,9.0,2.0
2016-02-18 13:48:55,PMB,6824,17392,2016-02-18 10:00:16,10.0,6.0
2016-02-23 21:26:38,PMB,6829,17089,2016-02-23 19:58:57,16.0,0.0
2016-03-02 19:58:57,PMB,6841,17469,2016-03-02 14:00:03,6.0,3.0
2016-03-02 19:58:57,PMB,6845,17488,2016-03-02 14:00:03,6.0,6.0
2016-03-15 21:15:02,PMB,6858,17590,2016-03-15 18:13:27,2.0,0.0
2016-03-16 18:00:48,PMB,6861,17589,2016-03-16 13:32:18,1.0,0.0
2016-03-21 22:39:51,PMB,6868,17598,2016-03-21 18:00:15,0.0,1.0
2016-03-22 21:50:24,PMB,6874,17531,2016-03-22 17:56:07,1.0,0.0
2016-03-22 21:50:24,PMB,6876,17619,2016-03-22 17:56:07,1.0,0.0
2016-03-28 21:58:47,PMB,6882,17659,2016-03-28 18:00:05,1.0,0.0
2016-04-26 18:30:47,PMB,6905,17766,2016-04-26 14:00:06,1.0,0.0
2016-04-28 17:33:34,PMB,6934,17735,2016-04-28 08:00:04,1.0,0.0
2016-05-18 22:31:51,PMB,6961,17929,2016-05-18 19:55:10,0.0,1.0
2016-05-23 23:01:25,PMB,6964,17935,2016-05-23 18:00:07,0.0,1.0
2016-05-23 23:01:25,PMB,6967,17947,2016-05-23 18:00:07,1.0,0.0
2016-05-24 01:43:04,PMB,6968,17952,2016-05-23 23:01:53,1.0,0.0
2016-05-24 01:43:04,PMB,6974,17956,2016-05-23 23:01:53,1.0,0.0
2016-06-02 02:47:47,PMB,7030,18099,2016-06-02 00:50:01,0.0,1.0
2016-06-02 02:47:47,PMB,7031,18100,2016-06-02 00:50:01,1.0,0.0
2016-06-02 02:47:47,PMB,7032,18098,2016-06-02 00:50:01,0.0,1.0
2016-06-02 02:47:47,PMB,7033,18094,2016-06-02 00:50:01,1.0,0.0
2016-06-08 18:45:54,PMB,7038,18068,2016-06-08 13:45:08,2.0,0.0
2016-06-08 18:45:54,PMB,7039,18114,2016-06-08 13:45:08,1.0,1.0
2017-05-24 14:46:41,PMB,7583,20043,2017-05-24 09:42:08,0.0,1.0
2017-05-31 21:02:34,PMB,7594,20161,2017-05-31 18:54:01,0.0,1.0
2017-05-31 21:02:34,PMB,7595,20089,2017-05-31 18:54:01,0.0,1.0
2016-02-25 19:00:10,PMB,6834,17466,2016-02-25 09:04:25,6.0,8.0
2016-03-08 18:41:34,PMB,6850,17534,2016-03-08 14:00:16,0.0,11.0
2016-03-09 14:25:02,PMB,6852,17568,2016-03-09 09:24:11,0.0,12.0
2016-03-09 14:25:02,PMB,6855,17557,2016-03-09 09:24:11,0.0,4.0
2016-03-10 19:00:03,PMB,6857,17544,2016-03-10 09:00:10,10.0,0.0
2016-03-29 17:59:33,PMB,6884,17661,2016-03-29 13:00:06,1.0,0.0
2016-05-03 21:35:55,PMB,6943,17857,2016-05-03 19:39:09,1.0,0.0
2016-05-31 23:23:08,PMB,7005,18025,2016-05-31 20:15:12,1.0,0.0
2016-05-31 23:23:08,PMB,7006,18071,2016-05-31 20:15:12,1.0,0.0
2016-05-31 23:23:08,PMB,7007,18026,2016-05-31 20:15:12,1.0,0.0
2016-05-31 23:23:08,PMB,7008,18027,2016-05-31 20:15:12,1.0,0.0
2016-05-31 23:23:08,PMB,7009,18029,2016-05-31 20:15:12,1.0,0.0
2016-05-31 23:23:08,PMB,7011,18037,2016-05-31 20:15:12,1.0,0.0
2016-05-31 23:23:08,PMB,7012,18031,2016-05-31 20:15:12,1.0,0.0
2016-05-31 23:23:08,PMB,7013,18032,2016-05-31 20:15:12,1.0,0.0
2016-05-31 23:23:08,PMB,7014,18033,2016-05-31 20:15:12,1.0,0.0
2016-05-31 23:23:08,PMB,7015,18030,2016-05-31 20:15:12,1.0,0.0
2016-06-08 18:45:54,PMB,7040,18107,2016-06-08 13:45:08,1.0,1.0
2016-06-14 22:12:32,PMB,7042,18150,2016-06-14 19:02:00,2.0,0.0
2016-06-15 16:07:18,PMB,7048,18194,2016-06-15 11:02:43,2.0,0.0
2016-06-15 21:09:45,PMB,7049,18198,2016-06-15 16:10:03,2.0,0.0
2016-06-15 21:09:45,PMB,7055,18220,2016-06-15 16:10:03,1.0,0.0
2016-06-15 21:09:45,PMB,7058,18224,2016-06-15 16:10:03,2.0,0.0
2016-06-20 22:47:08,PMB,7061,18172,2016-06-20 19:58:14,1.0,1.0
2016-06-21 14:17:27,PMB,7067,18234,2016-06-21 09:04:23,1.0,1.0
2016-07-05 22:19:32,PMB,7074,18281,2016-07-05 19:54:08,2.0,0.0
2016-07-06 20:01:29,PMB,7081,18316,2016-07-06 14:00:01,0.0,1.0
2016-07-06 21:42:37,PMB,7082,18331,2016-07-06 20:03:09,2.0,0.0
2016-07-12 22:20:30,PMB,7084,18355,2016-07-12 18:00:01,1.0,1.0
2016-07-12 22:20:30,PMB,7085,18356,2016-07-12 18:00:01,0.0,1.0
2016-08-09 20:20:39,PMB,7096,18362,2016-08-09 13:33:22,0.0,1.0
2016-08-10 01:19:58,PMB,7097,18471,2016-08-09 20:21:04,0.0,1.0
2016-08-10 01:19:58,PMB,7098,18472,2016-08-09 20:21:04,1.0,1.0
2016-08-10 01:19:58,PMB,7100,18465,2016-08-09 20:21:04,1.0,1.0
2016-08-10 01:19:58,PMB,7101,18396,2016-08-09 20:21:04,1.0,1.0
2016-08-10 02:44:59,PMB,7102,18473,2016-08-10 01:20:13,1.0,1.0
2016-08-10 02:44:59,PMB,7103,18441,2016-08-10 01:20:13,1.0,1.0
2016-08-10 13:37:47,PMB,7105,18475,2016-08-10 09:43:27,0.0,2.0
2016-08-30 01:00:46,PMB,7133,18573,2016-08-29 22:09:09,1.0,0.0
2016-08-30 01:00:46,PMB,7135,18570,2016-08-29 22:09:09,1.0,0.0
2016-08-30 14:20:55,PMB,7139,18621,2016-08-30 09:27:42,2.0,0.0
2016-08-30 19:13:43,PMB,7146,18624,2016-08-30 14:22:03,1.0,1.0
2016-08-30 19:13:43,PMB,7152,18641,2016-08-30 14:22:03,0.0,1.0
2016-08-30 19:13:43,PMB,7153,18438,2016-08-30 14:22:03,0.0,1.0
2016-08-30 21:54:20,PMB,7154,18642,2016-08-30 19:14:23,0.0,1.0
2016-08-30 21:54:20,PMB,7155,18439,2016-08-30 19:14:23,0.0,0.0
