dataHoraFim,com_governo,contra_governo
2003-01-01,0.8,0.0
2003-10-31,0.56,0.01
2004-04-30,,
2004-10-31,,
2005-04-30,,
2005-10-31,,
2006-04-30,,
2006-10-31,,
2007-04-30,3.51,0.03
2007-10-31,3.76,0.14
2008-04-30,3.67,0.12
2008-10-31,2.54,0.0
2009-04-30,2.43,0.14
2009-10-31,2.93,0.51
2010-04-30,2.04,0.13
2010-10-31,1.17,0.5
2011-04-30,2.21,0.29
2011-10-31,2.29,0.5
2012-04-30,1.26,0.24
2012-10-31,0.69,0.38
2013-04-30,0.52,0.83
2013-10-31,1.25,0.66
2014-04-30,1.42,0.79
2014-10-31,0.93,0.67
2015-04-30,1.59,0.61
2015-10-31,1.64,0.81
2019-01-01,0.97,0.86
