dataHoraFim,com_governo,contra_governo
2003-01-01,29.75,5.25
2003-12-31,27.13,3.73
2004-06-30,24.08,6.0
2004-12-31,25.42,5.11
2005-06-30,33.07,4.86
2005-12-31,25.25,7.29
2006-06-30,28.27,6.5
2006-12-31,29.14,1.86
2007-06-30,27.39,1.68
2007-12-31,28.13,1.51
2008-06-30,27.26,2.45
2008-12-31,24.88,0.92
2009-06-30,21.4,5.02
2009-12-31,22.54,3.29
2010-06-30,21.55,4.5
2010-12-31,21.67,1.25
2011-06-30,26.97,2.0
2011-12-31,24.88,1.6
2012-06-30,24.61,1.89
2012-12-31,17.42,4.58
2013-06-30,17.13,5.04
2013-12-31,21.0,3.93
2014-06-30,14.36,7.96
2014-12-31,10.33,14.22
2015-06-30,17.46,13.41
2015-12-31,20.26,9.52
2016-06-30,23.77,6.08
2016-12-31,29.88,1.62
2017-06-30,30.07,2.48
2017-12-31,26.11,2.76
2018-06-30,29.0,1.78
2019-01-01,29.54,3.14
