dataHoraFim,siglaPartido,voteId,idProposicao,dataHoraInicio,com_governo,contra_governo
2003-04-08 20:00:37,PPB,1855,2426,2003-04-08 14:00:52,32.0,1.0
2003-04-15 20:01:34,PPB,1856,2430,2003-04-15 14:01:05,0.0,33.0
2003-04-23 22:27:49,PPB,1859,2437,2003-04-23 20:16:23,3.0,34.0
2003-04-29 22:35:21,PPB,1861,2439,2003-04-29 20:11:14,25.0,13.0
2003-04-30 18:23:11,PPB,1862,2442,2003-04-30 09:00:00,2.0,14.0
2003-05-06 20:20:09,PPB,1863,2443,2003-05-06 14:00:22,36.0,1.0
2003-05-06 20:20:09,PPB,1864,2452,2003-05-06 14:00:22,18.0,21.0
2003-05-06 22:14:19,PPB,1865,2456,2003-05-06 20:30:54,16.0,11.0
2003-05-20 19:42:27,PPB,1867,2462,2003-05-20 14:00:18,35.0,1.0
2003-05-22 14:01:20,PPB,1869,2464,2003-05-22 09:32:33,19.0,2.0
2003-05-27 20:23:23,PPB,1870,2465,2003-05-27 14:04:48,3.0,28.0
2003-05-28 20:02:34,PPB,1871,2466,2003-05-28 13:57:28,21.0,12.0
