dataHoraFim,com_governo,contra_governo
2003-01-01,32.0,1.0
2003-04-09,,
2003-04-10,,
2003-04-11,,
2003-04-12,,
2003-04-13,,
2003-04-14,,
2003-04-15,0.0,33.0
2003-04-16,,
2003-04-17,,
2003-04-18,,
2003-04-19,,
2003-04-20,,
2003-04-21,,
2003-04-22,,
2003-04-23,3.0,34.0
2003-04-24,,
2003-04-25,,
2003-04-26,,
2003-04-27,,
2003-04-28,,
2003-04-29,25.0,13.0
2003-04-30,2.0,14.0
2003-05-01,,
2003-05-02,,
2003-05-03,,
2003-05-04,,
2003-05-05,,
2003-05-06,23.33,11.0
2003-05-07,,
2003-05-08,,
2003-05-09,,
2003-05-10,,
2003-05-11,,
2003-05-12,,
2003-05-13,,
2003-05-14,,
2003-05-15,,
2003-05-16,,
2003-05-17,,
2003-05-18,,
2003-05-19,,
2003-05-20,35.0,1.0
2003-05-21,,
2003-05-22,19.0,2.0
2003-05-23,,
2003-05-24,,
2003-05-25,,
2003-05-26,,
2003-05-27,3.0,28.0
2019-01-01,21.0,12.0
