dataHoraFim,com_governo,contra_governo
2003-01-01,14.6,0.0
2003-10-31,13.34,0.5
2004-04-30,13.51,0.84
2004-10-31,11.84,2.68
2005-04-30,13.53,1.28
2005-10-31,5.08,5.14
2006-04-30,5.45,4.87
2006-10-31,3.83,7.83
2007-04-30,4.55,5.18
2007-10-31,1.66,5.35
2008-04-30,1.33,6.31
2008-10-31,1.3,4.81
2009-04-30,2.71,4.31
2009-10-31,3.16,4.56
2010-04-30,2.87,3.96
2010-10-31,0.33,5.83
2011-04-30,2.92,4.17
2011-10-31,2.85,5.24
2012-04-30,2.15,4.65
2012-10-31,2.23,3.69
2013-04-30,2.17,4.65
2013-10-31,2.34,4.36
2014-04-30,2.74,2.74
2014-10-31,1.47,3.0
2015-04-30,4.1,3.98
2015-10-31,1.88,7.36
2016-04-30,1.74,6.07
2016-10-31,5.79,0.27
2017-04-30,5.4,0.73
2017-10-31,5.86,0.89
2018-04-30,5.18,1.23
2018-10-31,5.0,1.0
2019-01-01,5.62,1.0
