dataHoraFim,com_governo,contra_governo
2007-01-01,23.12,0.88
2007-08-31,25.51,2.53
2008-02-29,29.85,1.51
2008-08-31,27.24,1.4
2009-02-28,24.41,2.96
2009-08-31,22.65,5.16
2010-02-28,27.61,1.55
2010-08-31,22.53,4.29
2011-02-28,26.35,2.24
2011-08-31,21.74,3.94
2012-02-29,23.73,3.48
2012-08-31,13.25,9.12
2013-02-28,16.52,3.48
2013-08-31,15.94,5.27
2014-02-28,15.15,5.38
2014-08-31,14.39,6.3
2015-02-28,15.18,5.82
2015-08-31,20.59,5.18
2016-02-29,20.76,3.09
2016-08-31,24.69,3.34
2017-02-28,26.97,2.24
2017-08-31,23.46,3.25
2018-02-28,22.86,4.27
2018-08-31,23.72,2.25
2019-01-01,21.8,1.6
