dataHoraFim,siglaPartido,voteId,idProposicao,dataHoraInicio,com_governo,contra_governo
2006-01-18 21:33:36,PRB,2490,3202,2006-01-18 20:23:46,2.0,0.0
2006-02-01 20:42:09,PRB,2510,3229,2006-02-01 20:08:11,2.0,0.0
2007-10-24 19:00:02,PRB,3072,4297,2007-10-24 14:01:09,2.0,0.0
2007-10-31 20:05:08,PRB,3076,4315,2007-10-31 14:00:12,3.0,0.0
2007-10-31 20:05:08,PRB,3077,4307,2007-10-31 14:00:12,3.0,0.0
2007-10-31 20:05:08,PRB,3080,4316,2007-10-31 14:00:12,2.0,0.0
2007-10-31 22:44:59,PRB,3081,4317,2007-10-31 20:06:00,3.0,0.0
2007-10-31 22:44:59,PRB,3083,4313,2007-10-31 20:06:00,2.0,0.0
2009-02-18 13:19:59,PRB,3563,5648,2009-02-18 10:00:16,0.0,0.0
2009-05-19 21:19:57,PRB,3676,5935,2009-05-19 17:39:56,2.0,0.0
2009-05-19 21:19:57,PRB,3679,6006,2009-05-19 17:39:56,0.0,2.0
2012-03-27 19:12:11,PRB,4922,10306,2012-03-27 17:33:00,8.0,0.0
2017-08-16 22:02:56,PRB,7713,20600,2017-08-16 18:02:02,15.0,0.0
2017-09-13 22:06:20,PRB,7808,20773,2017-09-13 17:03:06,19.0,0.0
2018-03-13 22:10:08,PRB,8236,22026,2018-03-13 19:01:18,14.0,1.0
2005-11-29 20:21:53,PRB,2467,2984,2005-11-29 19:04:51,2.0,0.0
2006-02-07 20:26:27,PRB,2512,3240,2006-02-07 14:00:56,0.0,0.0
2007-03-13 19:00:27,PRB,2702,3674,2007-03-13 14:00:44,0.0,0.0
2007-03-14 20:38:07,PRB,2704,3675,2007-03-14 14:00:13,1.0,0.0
2007-03-14 20:38:07,PRB,2706,3678,2007-03-14 14:00:13,1.0,0.0
2007-03-15 19:34:35,PRB,2711,3684,2007-03-15 09:02:03,1.0,0.0
2008-05-27 22:51:27,PRB,3305,4753,2008-05-27 20:01:46,3.0,0.0
2011-10-05 23:04:50,PRB,4772,9838,2011-10-05 19:49:02,5.0,0.0
2012-04-18 19:49:48,PRB,4953,10411,2012-04-18 18:04:04,9.0,0.0
2015-04-08 21:24:42,PRB,6204,14955,2015-04-08 20:01:20,4.0,13.0
2017-11-07 17:18:52,PRB,7967,21238,2017-11-07 09:58:34,13.0,0.0
2017-11-07 22:24:38,PRB,7969,21234,2017-11-07 17:19:04,22.0,0.0
2005-10-19 20:54:55,PRB,2430,3117,2005-10-19 14:01:16,1.0,0.0
2005-10-20 19:26:20,PRB,2434,3119,2005-10-20 13:59:51,1.0,0.0
2005-10-26 20:28:54,PRB,2437,3122,2005-10-26 17:46:34,2.0,0.0
2005-10-31 19:03:34,PRB,2439,3123,2005-10-31 14:00:31,1.0,0.0
2005-11-01 20:02:49,PRB,2441,3102,2005-11-01 07:58:26,0.0,1.0
2005-11-08 20:18:57,PRB,2442,3047,2005-11-08 14:00:22,2.0,0.0
2005-11-09 00:48:04,PRB,2452,3032,2005-11-08 20:20:55,1.0,0.0
2005-11-09 13:35:53,PRB,2458,3135,2005-11-09 10:30:35,1.0,0.0
2005-11-09 21:59:16,PRB,2459,3128,2005-11-09 20:26:33,1.0,0.0
2005-11-09 21:59:16,PRB,2460,3132,2005-11-09 20:26:33,0.0,2.0
2005-11-16 20:53:14,PRB,2463,3143,2005-11-16 14:00:15,1.0,0.0
2005-12-07 20:00:10,PRB,2473,3095,2005-12-07 14:00:07,1.0,0.0
2005-12-13 22:32:48,PRB,2478,3180,2005-12-13 18:33:26,0.0,1.0
2005-12-13 22:32:48,PRB,2479,3177,2005-12-13 18:33:26,1.0,1.0
2006-01-19 13:59:03,PRB,2491,3204,2006-01-19 09:04:42,1.0,0.0
2006-01-31 21:15:18,PRB,2504,3223,2006-01-31 20:03:55,2.0,0.0
2006-02-01 20:07:32,PRB,2505,3224,2006-02-01 14:00:23,1.0,0.0
2006-02-07 20:26:27,PRB,2514,3062,2006-02-07 14:00:56,0.0,2.0
2006-02-13 22:06:58,PRB,2519,3249,2006-02-13 18:00:53,2.0,0.0
2006-02-14 12:38:54,PRB,2520,3251,2006-02-14 09:14:38,1.0,0.0
2006-02-21 20:59:37,PRB,2523,3222,2006-02-21 14:00:26,1.0,0.0
2006-03-07 20:04:34,PRB,2527,3258,2006-03-07 14:00:21,1.0,0.0
2006-04-04 20:11:00,PRB,2554,3303,2006-04-04 14:00:31,2.0,0.0
2006-04-04 20:11:00,PRB,2555,3300,2006-04-04 14:00:31,1.0,1.0
2009-06-02 22:28:38,PRB,3710,6050,2009-06-02 20:03:06,1.0,0.0
2009-06-09 22:02:57,PRB,3727,6124,2009-06-09 20:03:12,1.0,0.0
2009-09-16 19:29:17,PRB,3864,6491,2009-09-16 14:00:16,1.0,0.0
2009-10-07 21:19:53,PRB,3924,6553,2009-10-07 19:05:09,4.0,0.0
2010-03-02 19:48:15,PRB,4204,7365,2010-03-02 14:00:37,7.0,0.0
2012-05-30 19:01:16,PRB,5001,10583,2012-05-30 17:02:20,7.0,0.0
2012-06-26 19:32:12,PRB,5018,10665,2012-06-26 17:22:48,5.0,0.0
2014-02-04 22:28:10,PRB,5746,12863,2014-02-04 19:00:07,1.0,5.0
2014-02-11 21:15:09,PRB,5757,12950,2014-02-11 19:32:37,0.0,9.0
2014-05-06 23:58:32,PRB,5890,13561,2014-05-06 20:09:00,0.0,7.0
2006-01-24 21:52:35,PRB,2496,3215,2006-01-24 20:12:40,2.0,0.0
2006-03-14 19:52:08,PRB,2531,3260,2006-03-14 14:00:34,1.0,0.0
2006-03-14 19:52:08,PRB,2532,2997,2006-03-14 14:00:34,2.0,0.0
2006-03-28 20:14:28,PRB,2552,3264,2006-03-28 14:00:49,2.0,0.0
2006-04-11 20:59:37,PRB,2558,3310,2006-04-11 14:00:30,2.0,0.0
2006-04-12 19:38:05,PRB,2561,3320,2006-04-12 09:00:50,1.0,1.0
2006-04-26 21:56:57,PRB,2565,3252,2006-04-26 19:35:26,0.0,1.0
2006-05-02 20:07:05,PRB,2568,3335,2006-05-02 14:00:43,1.0,0.0
2006-05-09 20:03:40,PRB,2572,3351,2006-05-09 14:00:44,1.0,0.0
2006-05-17 20:39:28,PRB,2581,3332,2006-05-17 14:00:34,0.0,2.0
2006-05-17 20:39:28,PRB,2584,3361,2006-05-17 14:00:34,0.0,2.0
2006-05-31 20:17:12,PRB,2588,3374,2006-05-31 14:00:23,0.0,2.0
2006-06-07 20:06:48,PRB,2593,3384,2006-06-07 14:01:26,0.0,2.0
2007-02-06 18:51:32,PRB,2650,3551,2007-02-06 14:00:22,1.0,0.0
2007-02-12 20:02:34,PRB,2654,3568,2007-02-12 14:00:45,1.0,0.0
2007-02-14 20:00:35,PRB,2671,3593,2007-02-14 14:01:34,0.0,0.0
2007-02-14 22:15:58,PRB,2673,3594,2007-02-14 20:01:05,1.0,0.0
2007-02-26 19:00:23,PRB,2677,3605,2007-02-26 14:00:16,0.0,0.0
2007-02-28 20:02:12,PRB,2681,3606,2007-02-28 14:00:34,1.0,0.0
2007-03-13 19:00:27,PRB,2700,3627,2007-03-13 14:00:44,1.0,0.0
2007-03-21 19:00:18,PRB,2713,3692,2007-03-21 14:00:10,1.0,0.0
2007-04-02 19:48:50,PRB,2726,3608,2007-04-02 18:30:34,1.0,0.0
2007-04-03 20:02:13,PRB,2727,3722,2007-04-03 14:00:20,1.0,0.0
2007-04-03 20:02:13,PRB,2728,3724,2007-04-03 14:00:20,0.0,0.0
2007-04-03 22:56:02,PRB,2729,3637,2007-04-03 20:05:23,1.0,0.0
2007-04-03 22:56:02,PRB,2730,3726,2007-04-03 20:05:23,1.0,0.0
2007-04-09 19:43:37,PRB,2731,3731,2007-04-09 14:00:49,1.0,0.0
2007-04-10 13:52:58,PRB,2732,3732,2007-04-10 09:01:29,1.0,0.0
2007-04-10 20:09:42,PRB,2735,3736,2007-04-10 14:00:46,1.0,0.0
2007-04-10 20:09:42,PRB,2737,3738,2007-04-10 14:00:46,1.0,0.0
2007-04-10 20:09:42,PRB,2739,3742,2007-04-10 14:00:46,1.0,0.0
