dataHoraFim,com_governo,contra_governo
2005-01-01,1.25,0.0
2006-04-30,1.16,0.32
2006-10-31,0.33,1.33
2007-04-30,0.78,0.0
2007-10-31,2.27,0.05
2008-04-30,2.4,0.14
2008-10-31,2.41,0.0
2009-04-30,1.69,0.26
2009-10-31,1.6,0.3
2010-04-30,4.72,0.41
2010-10-31,3.83,1.5
2011-04-30,7.0,0.92
2011-10-31,7.21,1.15
2012-04-30,7.47,0.62
2012-10-31,4.77,0.46
2013-04-30,5.09,2.35
2013-10-31,4.78,0.8
2014-04-30,4.0,1.11
2014-10-31,2.27,2.33
2015-04-30,11.29,2.59
2015-10-31,13.3,2.39
2016-04-30,11.81,3.65
2016-10-31,14.56,0.59
2017-04-30,12.27,2.08
2017-10-31,13.24,1.26
2018-04-30,12.58,1.53
2018-10-31,12.23,1.15
2019-01-01,13.38,0.5
