dataHoraFim,com_governo,contra_governo
2005-01-01,0.5,0.25
2006-02-28,,
2006-08-31,,
2007-02-28,,
2007-08-31,,
2008-02-29,,
2008-08-31,,
2009-02-28,,
2009-08-31,,
2010-02-28,,
2010-08-31,,
2011-02-28,2.86,0.0
2011-08-31,0.86,0.14
2012-02-29,0.55,0.03
2012-08-31,0.25,0.25
2013-02-28,0.67,0.1
2013-08-31,1.69,0.46
2014-02-28,1.92,0.5
2014-08-31,1.83,0.48
2015-02-28,1.55,0.55
2015-08-31,2.05,0.51
2016-02-29,1.49,0.72
2016-08-31,0.87,0.02
2017-02-28,0.81,0.08
2017-08-31,0.69,0.07
2018-02-28,0.51,0.03
2019-01-01,0.29,0.14
