dataHoraFim,com_governo,contra_governo
2003-01-01,22.0,0.4
2003-10-31,14.18,0.94
2004-04-30,12.27,0.16
2004-10-31,12.77,0.42
2005-04-30,9.25,0.91
2005-10-31,10.47,0.72
2006-04-30,18.26,2.35
2006-10-31,15.0,5.33
2007-04-30,19.61,0.68
2007-10-31,19.73,1.94
2008-04-30,19.45,1.33
2008-10-31,18.27,0.7
2009-04-30,17.14,2.49
2009-10-31,15.49,3.3
2010-04-30,16.59,1.78
2010-10-31,12.83,5.83
2011-04-30,19.46,1.79
2011-10-31,20.26,1.5
2012-04-30,21.68,1.97
2012-10-31,13.31,2.69
2013-04-30,13.96,5.61
2013-10-31,13.55,4.72
2014-04-30,10.84,7.37
2014-10-31,6.67,9.27
2015-04-30,15.17,10.05
2015-10-31,11.25,14.97
2016-04-30,9.39,16.15
2016-10-31,21.57,3.1
2017-04-30,16.03,8.52
2017-10-31,18.54,6.0
2018-04-30,11.82,8.4
2018-10-31,3.2,12.08
2019-01-01,15.75,1.5
