dataHoraFim,com_governo,contra_governo
2003-01-01,0.4,0.0
2003-10-31,2.4,0.04
2004-04-30,4.9,0.12
2004-10-31,3.29,0.39
2005-04-30,2.96,0.28
2005-10-31,1.78,0.22
2006-04-30,3.68,0.74
2006-10-31,3.83,1.0
2007-04-30,4.77,0.07
2007-10-31,7.65,0.63
2008-04-30,7.81,0.43
2008-10-31,7.27,0.81
2009-04-30,6.63,1.17
2009-10-31,6.53,1.95
2010-04-30,8.15,2.0
2010-10-31,9.67,2.67
2011-04-30,11.0,1.62
2011-10-31,10.12,2.24
2012-04-30,10.12,1.32
2012-10-31,6.62,2.62
2013-04-30,8.09,3.13
2013-10-31,7.16,3.41
2014-04-30,5.32,3.32
2014-10-31,3.8,4.27
2015-04-30,4.95,3.8
2015-10-31,4.02,5.16
2016-04-30,3.59,4.8
2016-10-31,5.47,0.46
2017-04-30,5.22,1.68
2017-10-31,6.3,0.84
2018-04-30,6.02,1.1
2018-10-31,4.6,1.43
2019-01-01,3.88,1.12
