dataHoraFim,com_governo,contra_governo
2003-01-01,19.4,24.2
2003-10-31,15.46,20.85
2004-04-30,6.1,20.86
2004-10-31,4.45,21.74
2005-04-30,9.25,19.53
2005-10-31,8.44,18.06
2006-04-30,11.52,24.13
2006-10-31,0.5,36.33
2007-04-30,15.16,25.2
2007-10-31,3.68,29.1
2008-04-30,2.38,32.17
2008-10-31,3.78,26.11
2009-04-30,7.4,27.91
2009-10-31,16.3,21.02
2010-04-30,8.52,22.57
2010-10-31,1.83,26.0
2011-04-30,10.67,23.21
2011-10-31,7.26,24.44
2012-04-30,6.24,24.88
2012-10-31,12.77,17.23
2013-04-30,11.65,20.22
2013-10-31,10.58,17.12
2014-04-30,16.95,13.11
2014-10-31,9.53,19.13
2015-04-30,18.68,22.29
2015-10-31,8.63,33.97
2016-04-30,9.63,31.28
2016-10-31,36.59,1.31
2017-04-30,32.35,1.28
2017-10-31,29.25,2.94
2018-04-30,29.55,2.07
2018-10-31,31.25,1.7
2019-01-01,25.75,4.62
