dataHoraFim,com_governo,contra_governo
2003-01-01,0.87,0.04
2004-02-29,0.78,0.01
2004-08-31,0.78,0.02
2005-02-28,0.74,0.1
2005-08-31,0.84,0.03
2006-02-28,,
2006-08-31,,
2007-02-28,,
2007-08-31,,
2008-02-29,,
2008-08-31,,
2009-02-28,,
2009-08-31,,
2010-02-28,,
2010-08-31,,
2011-02-28,0.86,0.0
2011-08-31,1.29,0.11
2012-02-29,0.64,0.0
2012-08-31,0.44,0.31
2013-02-28,0.48,0.1
2013-08-31,0.54,0.13
2014-02-28,0.4,0.2
2014-08-31,,
2015-02-28,1.0,0.0
2015-08-31,0.64,0.06
2016-02-29,0.57,0.05
2016-08-31,1.24,0.15
2017-02-28,1.53,0.05
2017-08-31,1.21,0.09
2018-02-28,1.59,0.19
2018-08-31,5.7,0.51
2019-01-01,3.7,0.4
