dataHoraFim,com_governo,contra_governo
2005-01-01,1.71,1.43
2006-04-30,2.9,2.68
2006-10-31,2.17,3.5
2007-04-30,1.43,1.45
2007-10-31,0.88,1.63
2008-04-30,1.98,0.83
2008-10-31,1.05,1.49
2009-04-30,1.14,1.49
2009-10-31,1.98,0.81
2010-04-30,1.26,1.39
2010-10-31,0.67,2.0
2011-04-30,1.0,1.67
2011-10-31,0.62,1.91
2012-04-30,0.59,2.06
2012-10-31,1.23,1.31
2013-04-30,0.96,1.17
2013-10-31,1.31,1.38
2014-04-30,1.53,1.11
2014-10-31,0.93,1.47
2015-04-30,2.49,1.85
2015-10-31,1.52,2.72
2016-04-30,2.35,2.44
2016-10-31,0.85,4.55
2017-04-30,0.25,5.03
2017-10-31,0.33,5.0
2018-04-30,0.45,4.63
2018-10-31,0.33,4.92
2019-01-01,0.75,4.88
