dataHoraFim,com_governo,contra_governo
2003-01-01,80.6,1.2
2003-10-31,71.07,3.24
2004-04-30,63.65,2.98
2004-10-31,64.71,3.03
2005-04-30,58.5,7.25
2005-10-31,69.06,1.83
2006-04-30,59.45,3.48
2006-10-31,62.33,1.0
2007-04-30,62.66,3.32
2007-10-31,64.87,1.39
2008-04-30,58.1,3.29
2008-10-31,58.7,1.27
2009-04-30,56.49,1.26
2009-10-31,54.7,1.91
2010-04-30,52.78,2.74
2010-10-31,53.33,7.17
2011-04-30,59.62,4.54
2011-10-31,62.44,1.79
2012-04-30,70.06,1.18
2012-10-31,53.69,2.69
2013-04-30,57.04,5.87
2013-10-31,62.77,1.42
2014-04-30,54.74,6.47
2014-10-31,48.2,9.07
2015-04-30,47.44,5.07
2015-10-31,48.75,3.88
2016-04-30,46.94,2.48
2016-10-31,7.37,37.29
2017-04-30,5.53,39.9
2017-10-31,9.52,30.24
2018-04-30,7.98,31.95
2018-10-31,4.13,34.17
2019-01-01,14.88,28.88
