dataHoraFim,com_governo,contra_governo
2003-01-01,25.6,4.0
2003-10-31,32.94,3.41
2004-04-30,30.98,2.2
2004-10-31,29.13,3.74
2005-04-30,26.06,3.59
2005-10-31,22.11,2.86
2006-04-30,25.26,3.87
2006-10-31,19.17,9.5
2007-04-30,17.55,0.84
2007-10-31,14.46,1.41
2008-04-30,12.05,1.95
2008-10-31,12.54,0.92
2009-04-30,12.23,1.54
2009-10-31,11.07,3.49
2010-04-30,14.39,1.33
2010-10-31,9.33,4.67
2011-04-30,13.92,1.29
2011-10-31,13.76,1.12
2012-04-30,12.71,1.5
2012-10-31,8.62,2.77
2013-04-30,6.65,4.7
2013-10-31,8.23,2.44
2014-04-30,7.74,3.68
2014-10-31,5.2,4.53
2015-04-30,11.2,6.27
2015-10-31,13.25,6.3
2016-04-30,11.28,4.11
2016-10-31,11.59,0.92
2017-04-30,9.97,1.52
2017-10-31,10.28,1.25
2018-04-30,8.62,1.13
2018-10-31,8.62,0.77
2019-01-01,9.0,0.88
