dataHoraFim,com_governo,contra_governo
2007-01-01,0.88,0.0
2007-08-31,0.84,0.07
2008-02-29,0.89,0.05
2008-08-31,0.89,0.0
2009-02-28,0.74,0.0
2009-08-31,0.77,0.14
2010-02-28,0.57,0.02
2010-08-31,0.35,0.18
2011-02-28,1.82,0.06
2011-08-31,2.09,0.31
2012-02-29,1.64,0.12
2012-08-31,0.94,0.94
2013-02-28,1.14,0.33
2013-08-31,1.02,0.42
2014-02-28,1.08,0.69
2014-08-31,1.09,0.61
2015-02-28,1.18,0.45
2015-08-31,1.14,0.2
2016-02-29,1.28,0.28
2016-08-31,1.06,0.76
2017-02-28,1.55,1.21
2017-08-31,1.22,1.24
2019-01-01,2.31,1.38
