dataHoraFim,com_governo,contra_governo
2003-01-01,2.8,2.2
2003-10-31,3.16,0.83
2004-04-30,2.71,0.9
2004-10-31,3.13,0.87
2005-04-30,2.97,0.88
2005-10-31,1.61,1.56
2006-04-30,2.48,1.81
2006-10-31,1.83,3.5
2007-04-30,8.41,0.89
2007-10-31,9.28,1.26
2008-04-30,9.76,0.79
2008-10-31,6.24,2.54
2009-04-30,7.43,1.77
2009-10-31,7.7,1.6
2010-04-30,8.43,0.85
2010-10-31,6.5,3.0
2011-04-30,6.17,3.42
2011-10-31,7.09,2.68
2012-04-30,6.65,0.71
2012-10-31,4.92,2.15
2013-04-30,3.91,2.7
2013-10-31,5.22,1.16
2014-04-30,3.79,1.84
2014-10-31,3.13,1.67
2015-04-30,3.07,2.56
2015-10-31,3.22,3.1
2016-04-30,2.8,2.04
2016-10-31,3.95,0.3
2017-04-30,3.37,0.73
2017-10-31,2.75,0.64
2018-04-30,2.18,0.93
2018-10-31,1.33,0.25
2019-01-01,0.38,0.0
