dataHoraFim,siglaPartido,voteId,idProposicao,dataHoraInicio,com_governo,contra_governo
2017-08-16 22:02:56,REDE,7713,20600,2017-08-16 18:02:02,1.0,3.0
2017-09-13 22:06:20,REDE,7808,20773,2017-09-13 17:03:06,2.0,2.0
2018-03-13 22:10:08,REDE,8236,22026,2018-03-13 19:01:18,0.0,1.0
2017-11-07 17:18:52,REDE,7967,21238,2017-11-07 09:58:34,0.0,3.0
2017-11-07 22:24:38,REDE,7969,21234,2017-11-07 17:19:04,0.0,4.0
2017-10-31 23:25:07,REDE,7964,21058,2017-10-31 18:25:06,0.0,3.0
2017-10-31 23:25:07,REDE,7965,21053,2017-10-31 18:25:06,4.0,0.0
2018-04-04 13:31:55,REDE,8271,22132,2018-04-04 09:39:44,1.0,1.0
2018-04-04 16:30:25,REDE,8272,22141,2018-04-04 13:32:12,0.0,2.0
2016-04-28 17:33:34,REDE,6935,17752,2016-04-28 08:00:04,2.0,0.0
2016-05-03 21:35:55,REDE,6942,17749,2016-05-03 19:39:09,3.0,0.0
2015-09-23 19:44:52,REDE,6604,16513,2015-09-23 16:58:47,0.0,1.0
2017-11-09 16:12:47,REDE,7998,21322,2017-11-09 09:35:20,0.0,3.0
2018-04-11 17:51:58,REDE,8282,22175,2018-04-11 13:00:01,2.0,0.0
2018-04-11 21:38:34,REDE,8284,22146,2018-04-11 17:52:12,2.0,0.0
2018-04-11 21:38:34,REDE,8285,22166,2018-04-11 17:52:12,0.0,1.0
2018-04-11 21:38:34,REDE,8286,22170,2018-04-11 17:52:12,0.0,1.0
2018-04-11 21:38:34,REDE,8290,22047,2018-04-11 17:52:12,1.0,0.0
2015-10-20 20:00:18,REDE,6658,16773,2015-10-20 14:00:05,3.0,2.0
2015-10-20 20:00:18,REDE,6662,13764,2015-10-20 14:00:05,3.0,2.0
2017-11-07 22:24:38,REDE,7974,21230,2017-11-07 17:19:04,4.0,0.0
2016-02-17 21:52:46,REDE,6819,17415,2016-02-17 20:00:11,5.0,0.0
2016-05-31 23:23:08,REDE,7004,18034,2016-05-31 20:15:12,4.0,0.0
2017-03-29 20:35:27,REDE,7448,17246,2017-03-29 15:35:08,3.0,1.0
2015-09-23 19:44:52,REDE,6602,16547,2015-09-23 16:58:47,0.0,0.0
2015-09-23 19:44:52,REDE,6603,16396,2015-09-23 16:58:47,1.0,0.0
2015-09-29 19:58:50,REDE,6609,16566,2015-09-29 14:00:04,0.0,0.0
2015-09-30 15:00:48,REDE,6616,16614,2015-09-30 11:01:01,0.0,2.0
2015-09-30 19:19:08,REDE,6618,16633,2015-09-30 15:02:14,0.0,2.0
2015-10-06 18:57:23,REDE,6629,16660,2015-10-06 13:57:04,5.0,0.0
2015-10-07 20:31:46,REDE,6636,16716,2015-10-07 18:24:54,4.0,0.0
2015-10-08 17:53:51,REDE,6637,16721,2015-10-08 09:00:45,0.0,4.0
2015-10-08 17:53:51,REDE,6638,16709,2015-10-08 09:00:45,0.0,3.0
2015-10-08 17:53:51,REDE,6640,16719,2015-10-08 09:00:45,0.0,5.0
2015-10-13 20:31:29,REDE,6644,16703,2015-10-13 16:53:06,0.0,3.0
2015-10-21 19:46:34,REDE,6667,16796,2015-10-21 14:00:20,0.0,4.0
2015-10-22 17:00:01,REDE,6676,16510,2015-10-22 09:48:14,0.0,4.0
2015-10-27 19:59:53,REDE,6682,16459,2015-10-27 14:00:12,2.0,1.0
2015-10-28 18:03:23,REDE,6686,16851,2015-10-28 14:00:08,0.0,4.0
2015-11-03 20:17:53,REDE,6690,16878,2015-11-03 14:00:07,0.0,4.0
2015-11-03 20:17:53,REDE,6692,16903,2015-11-03 14:00:07,2.0,2.0
2015-11-03 20:17:53,REDE,6693,16909,2015-11-03 14:00:07,0.0,3.0
2015-11-03 21:09:30,REDE,6695,16905,2015-11-03 20:18:06,3.0,2.0
2015-11-04 20:53:04,REDE,6698,16899,2015-11-04 14:00:05,0.0,4.0
2015-11-04 20:53:04,REDE,6699,16918,2015-11-04 14:00:05,0.0,5.0
2015-11-05 17:08:53,REDE,6700,16938,2015-11-05 09:12:06,0.0,4.0
2015-11-10 20:15:06,REDE,6702,16959,2015-11-10 14:00:11,0.0,3.0
2015-11-10 20:15:06,REDE,6705,16951,2015-11-10 14:00:11,0.0,5.0
2015-11-10 23:02:40,REDE,6706,16953,2015-11-10 20:15:44,0.0,5.0
2015-11-10 23:02:40,REDE,6707,16973,2015-11-10 20:15:44,0.0,5.0
2015-11-10 23:02:40,REDE,6708,16974,2015-11-10 20:15:44,0.0,5.0
2015-11-10 23:02:40,REDE,6709,16978,2015-11-10 20:15:44,0.0,5.0
2015-11-11 23:25:12,REDE,6713,17002,2015-11-11 18:00:16,0.0,5.0
2015-11-11 23:25:12,REDE,6718,16987,2015-11-11 18:00:16,0.0,4.0
2015-11-17 18:51:21,REDE,6723,17102,2015-11-17 14:00:59,2.0,0.0
2015-11-17 19:26:22,REDE,6724,17105,2015-11-17 18:52:07,4.0,0.0
2015-11-24 20:13:57,REDE,6739,17146,2015-11-24 14:00:10,0.0,4.0
2015-11-24 20:13:57,REDE,6740,17145,2015-11-24 14:00:10,0.0,4.0
2015-11-24 20:13:57,REDE,6744,17154,2015-11-24 14:00:10,0.0,5.0
2015-11-24 22:59:48,REDE,6745,17166,2015-11-24 20:14:18,0.0,5.0
2015-11-24 22:59:48,REDE,6752,17157,2015-11-24 20:14:18,0.0,5.0
2015-12-15 19:59:02,REDE,6782,17103,2015-12-15 18:44:25,1.0,4.0
2015-12-15 19:59:02,REDE,6783,17270,2015-12-15 18:44:25,2.0,2.0
2016-02-03 20:28:32,REDE,6792,17258,2016-02-03 16:37:18,0.0,5.0
2016-02-03 23:23:48,REDE,6793,17351,2016-02-03 20:29:25,1.0,3.0
2016-02-03 23:23:48,REDE,6796,17369,2016-02-03 20:29:25,3.0,2.0
2016-02-16 19:58:06,REDE,6797,17370,2016-02-16 14:00:05,1.0,1.0
2016-02-17 00:00:00,REDE,6800,17390,2016-02-16 19:59:28,4.0,0.0
2016-02-17 00:00:00,REDE,6806,17321,2016-02-16 19:59:28,3.0,2.0
2016-02-17 00:00:00,REDE,6807,17359,2016-02-16 19:59:28,4.0,1.0
2016-02-17 00:00:00,REDE,6808,17361,2016-02-16 19:59:28,3.0,2.0
2016-02-17 19:58:58,REDE,6811,17401,2016-02-17 14:00:13,4.0,1.0
2016-02-18 13:48:55,REDE,6824,17392,2016-02-18 10:00:16,2.0,1.0
2016-02-23 21:26:38,REDE,6829,17089,2016-02-23 19:58:57,5.0,0.0
2016-03-02 19:58:57,REDE,6841,17469,2016-03-02 14:00:03,0.0,5.0
2016-03-02 19:58:57,REDE,6845,17488,2016-03-02 14:00:03,4.0,1.0
2016-03-15 21:15:02,REDE,6858,17590,2016-03-15 18:13:27,2.0,1.0
2016-03-16 18:00:48,REDE,6861,17589,2016-03-16 13:32:18,4.0,0.0
2016-03-21 22:39:51,REDE,6868,17598,2016-03-21 18:00:15,3.0,1.0
2016-03-22 21:50:24,REDE,6874,17531,2016-03-22 17:56:07,5.0,0.0
2016-03-22 21:50:24,REDE,6876,17619,2016-03-22 17:56:07,5.0,0.0
2016-03-28 21:58:47,REDE,6882,17659,2016-03-28 18:00:05,5.0,0.0
2016-04-26 18:30:47,REDE,6905,17766,2016-04-26 14:00:06,1.0,1.0
2016-04-28 17:33:34,REDE,6934,17735,2016-04-28 08:00:04,4.0,0.0
2016-05-18 22:31:51,REDE,6961,17929,2016-05-18 19:55:10,0.0,3.0
2016-05-23 23:01:25,REDE,6964,17935,2016-05-23 18:00:07,1.0,2.0
2016-05-23 23:01:25,REDE,6967,17947,2016-05-23 18:00:07,3.0,0.0
2016-05-24 01:43:04,REDE,6968,17952,2016-05-23 23:01:53,2.0,0.0
2016-05-24 01:43:04,REDE,6974,17956,2016-05-23 23:01:53,4.0,0.0
2016-06-02 02:47:47,REDE,7030,18099,2016-06-02 00:50:01,0.0,4.0
2016-06-02 02:47:47,REDE,7031,18100,2016-06-02 00:50:01,0.0,4.0
2016-06-02 02:47:47,REDE,7032,18098,2016-06-02 00:50:01,1.0,3.0
2016-06-02 02:47:47,REDE,7033,18094,2016-06-02 00:50:01,0.0,4.0
2016-06-08 18:45:54,REDE,7038,18068,2016-06-08 13:45:08,0.0,3.0
2016-06-08 18:45:54,REDE,7039,18114,2016-06-08 13:45:08,0.0,3.0
2017-05-24 14:46:41,REDE,7583,20043,2017-05-24 09:42:08,0.0,1.0
2017-05-31 21:02:34,REDE,7594,20161,2017-05-31 18:54:01,3.0,1.0
2017-05-31 21:02:34,REDE,7595,20089,2017-05-31 18:54:01,2.0,1.0
2017-08-16 18:00:25,REDE,7707,20551,2017-08-16 13:00:16,0.0,3.0
2017-12-06 20:53:00,REDE,8118,21652,2017-12-06 17:14:11,1.0,0.0
2018-06-06 18:29:23,REDE,8420,22604,2018-06-06 09:32:16,0.0,2.0
2018-06-06 18:29:23,REDE,8426,22614,2018-06-06 09:32:16,0.0,2.0
2016-02-25 19:00:10,REDE,6834,17466,2016-02-25 09:04:25,0.0,4.0
2016-03-08 18:41:34,REDE,6850,17534,2016-03-08 14:00:16,0.0,3.0
2016-03-09 14:25:02,REDE,6852,17568,2016-03-09 09:24:11,0.0,5.0
2016-03-09 14:25:02,REDE,6855,17557,2016-03-09 09:24:11,0.0,2.0
2016-03-10 19:00:03,REDE,6857,17544,2016-03-10 09:00:10,4.0,0.0
2016-03-29 17:59:33,REDE,6884,17661,2016-03-29 13:00:06,0.0,5.0
2016-05-03 21:35:55,REDE,6943,17857,2016-05-03 19:39:09,3.0,0.0
2016-05-31 23:23:08,REDE,7005,18025,2016-05-31 20:15:12,3.0,0.0
2016-05-31 23:23:08,REDE,7006,18071,2016-05-31 20:15:12,3.0,0.0
2016-05-31 23:23:08,REDE,7007,18026,2016-05-31 20:15:12,3.0,0.0
2016-05-31 23:23:08,REDE,7008,18027,2016-05-31 20:15:12,2.0,0.0
2016-05-31 23:23:08,REDE,7009,18029,2016-05-31 20:15:12,3.0,0.0
2016-05-31 23:23:08,REDE,7011,18037,2016-05-31 20:15:12,3.0,0.0
2016-05-31 23:23:08,REDE,7012,18031,2016-05-31 20:15:12,3.0,0.0
2016-05-31 23:23:08,REDE,7013,18032,2016-05-31 20:15:12,4.0,0.0
2016-05-31 23:23:08,REDE,7014,18033,2016-05-31 20:15:12,4.0,0.0
2016-05-31 23:23:08,REDE,7015,18030,2016-05-31 20:15:12,4.0,0.0
2016-06-08 18:45:54,REDE,7040,18107,2016-06-08 13:45:08,0.0,3.0
2016-06-14 22:12:32,REDE,7042,18150,2016-06-14 19:02:00,0.0,3.0
2016-06-15 16:07:18,REDE,7048,18194,2016-06-15 11:02:43,1.0,1.0
2016-06-15 21:09:45,REDE,7049,18198,2016-06-15 16:10:03,2.0,0.0
2016-06-15 21:09:45,REDE,7055,18220,2016-06-15 16:10:03,1.0,1.0
2016-06-15 21:09:45,REDE,7058,18224,2016-06-15 16:10:03,2.0,0.0
2016-06-20 22:47:08,REDE,7061,18172,2016-06-20 19:58:14,1.0,0.0
2016-06-21 14:17:27,REDE,7067,18234,2016-06-21 09:04:23,2.0,2.0
2016-07-05 22:19:32,REDE,7074,18281,2016-07-05 19:54:08,3.0,0.0
2016-07-06 20:01:29,REDE,7081,18316,2016-07-06 14:00:01,0.0,3.0
2016-07-06 21:42:37,REDE,7082,18331,2016-07-06 20:03:09,1.0,1.0
2016-07-12 22:20:30,REDE,7084,18355,2016-07-12 18:00:01,1.0,1.0
2016-07-12 22:20:30,REDE,7085,18356,2016-07-12 18:00:01,1.0,3.0
2016-08-09 20:20:39,REDE,7096,18362,2016-08-09 13:33:22,0.0,2.0
2016-08-10 01:19:58,REDE,7097,18471,2016-08-09 20:21:04,0.0,3.0
2016-08-10 01:19:58,REDE,7098,18472,2016-08-09 20:21:04,0.0,2.0
2016-08-10 01:19:58,REDE,7100,18465,2016-08-09 20:21:04,1.0,2.0
2016-08-10 01:19:58,REDE,7101,18396,2016-08-09 20:21:04,0.0,3.0
2016-08-10 02:44:59,REDE,7102,18473,2016-08-10 01:20:13,0.0,3.0
2016-08-10 02:44:59,REDE,7103,18441,2016-08-10 01:20:13,0.0,2.0
2016-08-10 13:37:47,REDE,7105,18475,2016-08-10 09:43:27,1.0,2.0
2016-08-30 01:00:46,REDE,7133,18573,2016-08-29 22:09:09,0.0,4.0
2016-08-30 01:00:46,REDE,7135,18570,2016-08-29 22:09:09,0.0,4.0
2016-08-30 14:20:55,REDE,7139,18621,2016-08-30 09:27:42,1.0,3.0
2016-08-30 19:13:43,REDE,7146,18624,2016-08-30 14:22:03,0.0,2.0
2016-08-30 19:13:43,REDE,7152,18641,2016-08-30 14:22:03,0.0,3.0
2016-08-30 19:13:43,REDE,7153,18438,2016-08-30 14:22:03,1.0,3.0
2016-08-30 21:54:20,REDE,7154,18642,2016-08-30 19:14:23,1.0,1.0
2016-08-30 21:54:20,REDE,7155,18439,2016-08-30 19:14:23,1.0,2.0
2016-08-30 21:54:20,REDE,7156,18644,2016-08-30 19:14:23,1.0,1.0
2016-10-05 21:15:20,REDE,7189,18772,2016-10-05 16:10:23,0.0,3.0
2016-10-05 21:15:20,REDE,7191,18643,2016-10-05 16:10:23,0.0,3.0
2016-10-10 13:41:57,REDE,7204,18784,2016-10-10 09:26:33,0.0,2.0
2016-10-10 18:08:50,REDE,7206,18800,2016-10-10 14:00:07,0.0,2.0
2016-10-10 18:08:50,REDE,7207,18791,2016-10-10 14:00:07,0.0,2.0
2016-10-10 23:05:28,REDE,7210,18810,2016-10-10 18:09:05,0.0,3.0
2016-10-10 23:05:28,REDE,7211,18818,2016-10-10 18:09:05,1.0,1.0
2016-10-10 23:05:28,REDE,7212,18816,2016-10-10 18:09:05,0.0,1.0
2016-10-10 23:05:28,REDE,7213,18822,2016-10-10 18:09:05,0.0,1.0
2016-10-10 23:05:28,REDE,7214,18789,2016-10-10 18:09:05,0.0,3.0
2016-10-10 23:05:28,REDE,7215,18823,2016-10-10 18:09:05,0.0,2.0
2016-10-10 23:05:28,REDE,7216,18825,2016-10-10 18:09:05,0.0,3.0
2016-10-10 23:05:28,REDE,7218,18805,2016-10-10 18:09:05,0.0,3.0
2016-10-11 01:44:57,REDE,7219,18826,2016-10-10 23:06:04,0.0,2.0
2016-10-11 01:44:57,REDE,7220,18811,2016-10-10 23:06:04,0.0,3.0
2016-10-11 01:44:57,REDE,7221,18804,2016-10-10 23:06:04,0.0,3.0
2016-10-11 01:44:57,REDE,7222,18807,2016-10-10 23:06:04,0.0,3.0
2016-10-11 01:44:57,REDE,7223,18803,2016-10-10 23:06:04,0.0,3.0
2016-10-24 22:20:15,REDE,7240,18872,2016-10-24 17:26:11,1.0,2.0
2016-10-24 22:20:15,REDE,7243,18894,2016-10-24 17:26:11,0.0,3.0
2016-10-24 22:20:15,REDE,7244,18895,2016-10-24 17:26:11,0.0,2.0
2016-10-25 15:27:15,REDE,7245,18896,2016-10-25 09:23:01,0.0,0.0
2016-10-25 15:27:15,REDE,7246,18918,2016-10-25 09:23:01,0.0,3.0
2016-10-25 21:01:19,REDE,7247,18920,2016-10-25 15:31:36,0.0,3.0
2016-10-25 21:01:19,REDE,7248,18923,2016-10-25 15:31:36,0.0,3.0
2016-10-25 21:01:19,REDE,7249,18899,2016-10-25 15:31:36,0.0,3.0
2016-10-25 21:01:19,REDE,7250,18921,2016-10-25 15:31:36,0.0,2.0
2016-10-25 21:01:19,REDE,7251,18908,2016-10-25 15:31:36,0.0,2.0
2016-10-25 21:01:19,REDE,7252,18790,2016-10-25 15:31:36,0.0,3.0
2016-10-26 02:00:58,REDE,7253,18925,2016-10-25 21:02:07,2.0,1.0
2016-10-26 02:00:58,REDE,7254,18922,2016-10-25 21:02:07,1.0,1.0
2016-10-26 02:00:58,REDE,7255,18911,2016-10-25 21:02:07,0.0,2.0
2016-10-26 02:00:58,REDE,7256,18901,2016-10-25 21:02:07,0.0,3.0
2016-10-26 02:00:58,REDE,7257,18912,2016-10-25 21:02:07,0.0,3.0
2016-10-26 02:00:58,REDE,7258,18913,2016-10-25 21:02:07,0.0,3.0
2016-10-26 02:00:58,REDE,7259,18914,2016-10-25 21:02:07,0.0,3.0
2016-10-26 19:00:50,REDE,7260,18935,2016-10-26 08:00:06,1.0,0.0
2016-11-08 22:27:10,REDE,7273,18966,2016-11-08 20:36:57,2.0,2.0
2016-11-09 21:33:57,REDE,7274,18990,2016-11-09 16:28:18,2.0,0.0
2016-11-09 21:33:57,REDE,7275,18955,2016-11-09 16:28:18,3.0,1.0
2016-11-09 21:33:57,REDE,7276,18958,2016-11-09 16:28:18,1.0,2.0
2016-11-09 21:33:57,REDE,7279,18743,2016-11-09 16:28:18,0.0,4.0
2016-11-09 21:33:57,REDE,7280,18991,2016-11-09 16:28:18,4.0,0.0
2016-11-22 21:30:48,REDE,7283,19007,2016-11-22 19:02:08,1.0,3.0
2016-11-30 00:12:31,REDE,7291,19044,2016-11-29 18:55:07,3.0,0.0
2016-11-30 04:18:25,REDE,7294,19073,2016-11-30 00:12:49,2.0,0.0
2016-12-07 16:49:14,REDE,7319,19164,2016-12-07 09:25:51,1.0,2.0
2016-12-07 16:49:14,REDE,7324,19163,2016-12-07 09:25:51,0.0,2.0
2016-12-07 22:09:56,REDE,7327,19170,2016-12-07 16:49:28,1.0,2.0
2016-12-07 22:09:56,REDE,7331,19195,2016-12-07 16:49:28,0.0,2.0
