dataHoraFim,com_governo,contra_governo
2003-01-01,0.8,0.4
2003-10-31,0.68,0.4
2004-04-30,1.84,0.61
2004-10-31,1.61,1.35
2005-04-30,3.53,1.44
2005-10-31,2.64,1.58
2006-04-30,,
2006-10-31,,
2007-04-30,1.58,0.15
2007-10-31,0.86,0.21
2008-04-30,,
2008-10-31,,
2009-04-30,0.21,0.14
2009-10-31,0.67,0.33
2010-04-30,,
2010-10-31,,
2011-04-30,,
2011-10-31,0.33,0.33
2012-04-30,,
2012-10-31,,
2013-04-30,,
2013-10-31,0.9,0.23
2014-04-30,,
2014-10-31,,
2015-04-30,,
2015-10-31,0.28,0.43
2016-04-30,0.48,0.62
2016-10-31,1.0,0.0
2017-04-30,,
2017-10-31,,
2019-01-01,1.45,0.05
