voteId,dataHoraFim,com_governo,contra_governo
0001,2016-04-17 23:50:00,137.0,375.0
0002,2017-08-02 13:54:00,261.0,233.0
0003,2017-10-25 14:23:00,252.0,245.0
1855,2003-04-08 20:00:37,293.0,105.0
1856,2003-04-15 20:01:34,198.0,185.0
1859,2003-04-23 22:27:49,328.0,74.0
1861,2003-04-29 22:35:21,366.0,71.0
1862,2003-04-30 18:23:11,195.0,126.0
1863,2003-05-06 20:20:09,302.0,94.0
1864,2003-05-06 20:20:09,241.0,217.0
1865,2003-05-06 22:14:19,250.0,81.0
1867,2003-05-20 19:42:27,409.0,3.0
1869,2003-05-22 14:01:20,183.0,42.0
1870,2003-05-27 20:23:23,333.0,35.0
1871,2003-05-28 20:02:34,278.0,162.0
1876,2003-06-04 20:20:48,304.0,95.0
1877,2003-06-04 20:20:48,379.0,4.0
1880,2003-06-10 22:04:26,238.0,125.0
1883,2003-06-11 21:16:46,289.0,103.0
1905,2003-07-31 13:56:29,270.0,39.0
1908,2003-08-05 15:02:21,224.0,125.0
1909,2003-08-05 20:30:14,236.0,166.0
1910,2003-08-06 01:15:12,268.0,88.0
1911,2003-08-06 01:15:12,358.0,136.0
1915,2003-08-07 03:05:08,247.0,36.0
1916,2003-08-07 03:05:08,378.0,81.0
1917,2003-08-07 03:05:08,356.0,56.0
1920,2003-08-07 03:05:08,326.0,165.0
1923,2003-08-12 14:30:22,266.0,68.0
1924,2003-08-12 14:30:22,243.0,53.0
1925,2003-08-12 19:32:28,248.0,45.0
1926,2003-08-12 19:32:28,271.0,99.0
1927,2003-08-12 19:32:28,319.0,73.0
1928,2003-08-13 18:02:50,337.0,99.0
1929,2003-08-13 23:08:57,437.0,23.0
1930,2003-08-13 23:08:57,404.0,62.0
1931,2003-08-13 23:08:57,362.0,114.0
1932,2003-08-13 23:08:57,445.0,18.0
1936,2003-08-26 19:30:23,339.0,88.0
1937,2003-08-27 15:01:29,271.0,74.0
1938,2003-08-27 15:01:29,267.0,66.0
