dataHoraFim,voteId,idProposicao,com_governo,contra_governo
2003-04-08,1855.0,38816.0,293.0,105.0
2003-04-09,,,,
2003-04-10,,,,
2003-04-11,,,,
2003-04-12,,,,
2003-04-13,,,,
2003-04-14,,,,
2003-04-15,1856.0,38880.0,198.0,185.0
2003-04-16,,,,
2003-04-17,,,,
2003-04-18,,,,
2003-04-19,,,,
2003-04-20,,,,
2003-04-21,,,,
2003-04-22,,,,
2003-04-23,1859.0,38992.0,328.0,74.0
2003-04-24,,,,
2003-04-25,,,,
2003-04-26,,,,
2003-04-27,,,,
2003-04-28,,,,
2003-04-29,1861.0,39024.0,366.0,71.0
2003-04-30,1862.0,39072.0,195.0,126.0
2003-05-01,,,,
2003-05-02,,,,
2003-05-03,,,,
2003-05-04,,,,
2003-05-05,,,,
2003-05-06,1864.0,39205.333333333336,264.3333333333333,130.66666666666666
2003-05-07,,,,
2003-05-08,,,,
2003-05-09,,,,
2003-05-10,,,,
2003-05-11,,,,
2003-05-12,,,,
2003-05-13,,,,
2003-05-14,,,,
2003-05-15,,,,
2003-05-16,,,,
2003-05-17,,,,
2003-05-18,,,,
2003-05-19,,,,
2003-05-20,1867.0,39392.0,409.0,3.0
2003-05-21,,,,
2003-05-22,1869.0,39424.0,183.0,42.0
2003-05-23,,,,
2003-05-24,,,,
2003-05-25,,,,
2003-05-26,,,,
2003-05-27,1870.0,39440.0,333.0,35.0
2003-05-28,1871.0,39456.0,278.0,162.0
2003-05-29,,,,
2003-05-30,,,,
2003-05-31,,,,
2003-06-01,,,,
2003-06-02,,,,
2003-06-03,,,,
2003-06-04,1876.5,39640.0,341.5,49.5
2003-06-05,,,,
2003-06-06,,,,
2003-06-07,,,,
2003-06-08,,,,
2003-06-09,,,,
2003-06-10,1880.0,39728.0,238.0,125.0
2003-06-11,1883.0,39792.0,289.0,103.0
2003-06-12,,,,
2003-06-13,,,,
2003-06-14,,,,
2003-06-15,,,,
2003-06-16,,,,
2003-06-17,,,,
2003-06-18,,,,
2003-06-19,,,,
2003-06-20,,,,
2003-06-21,,,,
2003-06-22,,,,
2003-06-23,,,,
2003-06-24,,,,
2003-06-25,,,,
2003-06-26,,,,
2003-06-27,,,,
2003-06-28,,,,
2003-06-29,,,,
2003-06-30,,,,
2003-07-01,,,,
2003-07-02,,,,
2003-07-03,,,,
2003-07-04,,,,
2003-07-05,,,,
2003-07-06,,,,
